"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2552","RT @thehill: Kaine: Trump administration full of ""crybabies"" who can't handle criticism https://t.co/lnLk0dNbja https://t.co/VjvpK0VdAo",FALSE,0,NA,2018-06-12 14:56:03,FALSE,NA,"1006550703924502528",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","federicoalves",76,TRUE,FALSE,NA,NA
"2553","RT @busylizzie48: VIRGINIA PRIMARY
Ì†ΩÌ≤•Ì†ΩÌ≤•Ì†ΩÌ≤•Ì†ΩÌ≤•Ì†ΩÌ≤•Ì†ΩÌ≤•Ì†ΩÌ≤•Ì†ΩÌ≤•
Tuesday June 12th

VOTE FOR NICK FREITAS 
@NickForVA 
Ì†ΩÌ≤•Ì†ΩÌ≤•Ì†ΩÌ≤•Ì†ΩÌ≤•Ì†ΩÌ≤•Ì†ΩÌ≤•Ì†ΩÌ≤•Ì†ΩÌ≤•Ì†ΩÌ≤•
He‚Äôs endorsed by NRA
He‚Äôs a Vet‚Ä¶",FALSE,0,NA,2018-06-12 14:55:48,FALSE,NA,"1006550643954286592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ak_cheese",186,TRUE,FALSE,NA,NA
"2554","RT @thehill: Kaine: Trump administration full of ""crybabies"" who can't handle criticism https://t.co/lnLk0dNbja https://t.co/VjvpK0VdAo",FALSE,0,NA,2018-06-12 14:55:40,FALSE,NA,"1006550606570446848",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","YOLIDS",76,TRUE,FALSE,NA,NA
"2555","RT @granthighland1: I cast my vote for Nick Freitas. He can and will defeat Crazy Tim Kaine. https://t.co/WC3tESXyE1",FALSE,0,NA,2018-06-12 14:55:21,FALSE,NA,"1006550530540240896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","michael__1776",2,TRUE,FALSE,NA,NA
"2556","RT @thehill: Kaine: Trump administration full of ""crybabies"" who can't handle criticism https://t.co/lnLk0dNbja https://t.co/VjvpK0VdAo",FALSE,0,NA,2018-06-12 14:55:07,FALSE,NA,"1006550468539998210",NA,"<a href=""https://github.com/kaumaron/TwitterBots"" rel=""nofollow"">News Test Bot</a>","DMMConsult_bot",76,TRUE,FALSE,NA,NA
"2557","Tim Kaine calls out the 'glass jaws' and 'crybabies' of the Trump White House https://t.co/He4wT5dGZL",FALSE,0,NA,2018-06-12 14:55:07,FALSE,NA,"1006550468045279233",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Gander_News_d1",0,FALSE,FALSE,NA,NA
"2558","Kaine: Trump administration full of ""crybabies"" who can't handle criticism https://t.co/lnLk0dNbja https://t.co/VjvpK0VdAo",FALSE,385,NA,2018-06-12 14:55:06,FALSE,NA,"1006550466434682880",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","thehill",76,FALSE,FALSE,NA,NA
"2559","RT @Kesterdaughter: Today‚Äôs the day to vote for @NickForVA !!! I‚Äôve never been happier to vote for someone in my life, go out and vote if y‚Ä¶",FALSE,0,NA,2018-06-12 14:54:55,FALSE,NA,"1006550420217528320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Padre_0",7,TRUE,FALSE,NA,NA
"2560","RT @DaveBratVA7th: Virginia Republicans, just a reminder to get out to the polls today! Time to choose the best candidate to take on Tim Ka‚Ä¶",FALSE,0,NA,2018-06-12 14:54:50,FALSE,NA,"1006550398637936640",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","c_fortunate2",48,TRUE,FALSE,NA,NA
"2562","RT @DaveBratVA7th: Virginia Republicans, just a reminder to get out to the polls today! Time to choose the best candidate to take on Tim Ka‚Ä¶",FALSE,0,NA,2018-06-12 14:53:50,FALSE,NA,"1006550144907526144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PolyPatriot",48,TRUE,FALSE,NA,NA
"2564","RT @DaveBratVA7th: Virginia Republicans, just a reminder to get out to the polls today! Time to choose the best candidate to take on Tim Ka‚Ä¶",FALSE,0,NA,2018-06-12 14:51:46,FALSE,NA,"1006549626525224960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LucynGOP",48,TRUE,FALSE,NA,NA
"2565","Senator Tim Kaine recently hosted a summit he called Building the Navy of the Future: Opportunities for Hampton Roa‚Ä¶ https://t.co/CWOcIdxRKc",FALSE,0,NA,2018-06-12 14:50:09,TRUE,NA,"1006549218457157633",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","wcve",0,FALSE,FALSE,NA,NA
"2566","RT @DaveBratVA7th: Virginia Republicans, just a reminder to get out to the polls today! Time to choose the best candidate to take on Tim Ka‚Ä¶",FALSE,0,NA,2018-06-12 14:49:52,FALSE,NA,"1006549150052200450",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RogerThatB17",48,TRUE,FALSE,NA,NA
"2567","RT @JesseGreen99: It‚Äôs primary Election Day in Virginia. Make sure to get out and vote for the true Conservative in the race, @NickForVA. H‚Ä¶",FALSE,0,NA,2018-06-12 14:48:47,FALSE,NA,"1006548874163613696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","galizerigfanda",24,TRUE,FALSE,NA,NA
"2568","Opinion | Tim Kaine calls out the ‚Äòglass jaws‚Äô and ‚Äòcrybabies‚Äô of the Trump White House https://t.co/xoHWEMypOK",FALSE,0,NA,2018-06-12 14:47:38,FALSE,NA,"1006548586862084096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","suz123nj",0,FALSE,FALSE,NA,NA
"2569","I cast my vote for Nick Freitas. He can and will defeat Crazy Tim Kaine. https://t.co/WC3tESXyE1",FALSE,3,NA,2018-06-12 14:47:03,FALSE,NA,"1006548440657072129",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","granthighland1",2,FALSE,FALSE,NA,NA
"2570","Ì†ΩÌ∑≥Ô∏è We VOTED Ì†ΩÌ∑≥Ô∏è for #GreenBeret Ì†ºÌ∑∫Ì†ºÌ∑∏ #NickFreitas to UNSEAT Tim Kaine

Don't be complacent!! 10th Congressional Distri‚Ä¶ https://t.co/lV4R6Ei8jx",FALSE,10,NA,2018-06-12 14:45:44,TRUE,NA,"1006548106727575553",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GOPVictories",6,FALSE,FALSE,NA,NA
"2571","RT @GrahamLedger: Tonight: The much anticipated Singapore Summit. The ties between the G7 gathering &amp; the meeting with Kim Jong Un. Plus: A‚Ä¶",FALSE,0,NA,2018-06-12 14:44:54,FALSE,NA,"1006547900808097792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","swimbikerunmoms",82,TRUE,FALSE,NA,NA
"2572","Opinion | Tim Kaine calls out the ‚Äòglass jaws‚Äô and ‚Äòcrybabies‚Äô of the Trump White House https://t.co/w2WhHL7Esc",FALSE,0,NA,2018-06-12 14:44:39,FALSE,NA,"1006547835305807872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SusanWoodhull",0,FALSE,FALSE,NA,NA
"2573","RT @SenRubioPress: Today, @SenJeffMerkley, @SenatorCollins, @SenatorDurbin, Tim Kaine, and I urged @SecPompeo to publicly release the compl‚Ä¶",FALSE,0,NA,2018-06-12 14:40:15,FALSE,NA,"1006546729309802497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NunezYurik",17,TRUE,FALSE,NA,NA
"2574","RT @SenRubioPress: Today, @SenJeffMerkley, @SenatorCollins, @SenatorDurbin, Tim Kaine, and I urged @SecPompeo to publicly release the compl‚Ä¶",FALSE,0,NA,2018-06-12 14:36:07,FALSE,NA,"1006545686664531968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","courtchauncey",17,TRUE,FALSE,NA,NA
"2575","RT @DaveBratVA7th: Virginia Republicans, just a reminder to get out to the polls today! Time to choose the best candidate to take on Tim Ka‚Ä¶",FALSE,0,NA,2018-06-12 14:35:35,FALSE,NA,"1006545554246193152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Feisty2",48,TRUE,FALSE,NA,NA
"2576","Opinion | #TimKaine calls out the ‚Äòglass jaws‚Äô and ‚Äòcrybabies‚Äô of the #Trump #WhiteHouse https://t.co/S8HkuTTefB",FALSE,0,NA,2018-06-12 14:35:01,FALSE,NA,"1006545411509833728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","anotherspaniel",0,FALSE,FALSE,NA,NA
"2577","RT @DaveBratVA7th: Virginia Republicans, just a reminder to get out to the polls today! Time to choose the best candidate to take on Tim Ka‚Ä¶",FALSE,0,NA,2018-06-12 14:34:55,FALSE,NA,"1006545385677053952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KMCaton",48,TRUE,FALSE,NA,NA
"2578","RT @sdonnan: ‚ÄúThe Trump administration is filled with people with glass jaws who they love to punch people, but if somebody punches back? T‚Ä¶",FALSE,0,NA,2018-06-12 14:33:46,FALSE,NA,"1006545097297711104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RVersteeg1",3,TRUE,FALSE,NA,NA
"2579","RT @DaveBratVA7th: Virginia Republicans, just a reminder to get out to the polls today! Time to choose the best candidate to take on Tim Ka‚Ä¶",FALSE,0,NA,2018-06-12 14:31:47,FALSE,NA,"1006544596799774720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jacqalope78",48,TRUE,FALSE,NA,NA
"2580","RT @gun_carry: #gunvote trying to get Tim Kaine out of office and protect #2a with @NickForVA 
#VirginiaPrimaryElections #VoteToday #gunrig‚Ä¶",FALSE,0,NA,2018-06-12 14:31:39,FALSE,NA,"1006544565887782914",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1964dwclark",1,TRUE,FALSE,NA,NA
"2581","RT @sdonnan: ‚ÄúThe Trump administration is filled with people with glass jaws who they love to punch people, but if somebody punches back? T‚Ä¶",FALSE,0,NA,2018-06-12 14:31:28,FALSE,NA,"1006544519742001152",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","DevashishMitra_",3,TRUE,FALSE,NA,NA
"2582","RT @Kesterdaughter: Today‚Äôs the day to vote for @NickForVA !!! I‚Äôve never been happier to vote for someone in my life, go out and vote if y‚Ä¶",FALSE,0,NA,2018-06-12 14:31:19,FALSE,NA,"1006544481632411649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","michael__1776",7,TRUE,FALSE,NA,NA
"2583","RT @DaveBratVA7th: Virginia Republicans, just a reminder to get out to the polls today! Time to choose the best candidate to take on Tim Ka‚Ä¶",FALSE,0,NA,2018-06-12 14:30:58,FALSE,NA,"1006544391308267520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Discoveringme40",48,TRUE,FALSE,NA,NA
"2584","‚ÄúPresident Trump can name-call everybody all day long. And somebody gets in his face a little bit and they melt int‚Ä¶ https://t.co/lgGQnFWHje",FALSE,1,NA,2018-06-12 14:30:37,TRUE,NA,"1006544303118663680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gdanmitchell",0,FALSE,FALSE,NA,NA
"2585","RT @DaveBratVA7th: Virginia Republicans, just a reminder to get out to the polls today! Time to choose the best candidate to take on Tim Ka‚Ä¶",FALSE,0,NA,2018-06-12 14:29:56,FALSE,NA,"1006544130535841793",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lindakirk_va",48,TRUE,FALSE,NA,NA
"2586","RT @DaveBratVA7th: Virginia Republicans, just a reminder to get out to the polls today! Time to choose the best candidate to take on Tim Ka‚Ä¶",FALSE,0,NA,2018-06-12 14:27:33,FALSE,NA,"1006543534218973184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","4AllSoulKind",48,TRUE,FALSE,NA,NA
"2587","RT @DaveBratVA7th: Virginia Republicans, just a reminder to get out to the polls today! Time to choose the best candidate to take on Tim Ka‚Ä¶",FALSE,0,NA,2018-06-12 14:26:20,FALSE,NA,"1006543225925046272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VA_GOP",48,TRUE,FALSE,NA,NA
"2588","RT @DaveBratVA7th: Virginia Republicans, just a reminder to get out to the polls today! Time to choose the best candidate to take on Tim Ka‚Ä¶",FALSE,0,NA,2018-06-12 14:25:54,FALSE,NA,"1006543118919819264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KeepTexasRed7",48,TRUE,FALSE,NA,NA
"2589","RT @CapehartJ: ""...and allow that to be verified. Because if you don't know what it is they have, how could you trust that they'll do a dea‚Ä¶",FALSE,0,NA,2018-06-12 14:24:59,FALSE,NA,"1006542886786256896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wolfgirl1",17,TRUE,FALSE,NA,NA
"2590","RT @DaveBratVA7th: Virginia Republicans, just a reminder to get out to the polls today! Time to choose the best candidate to take on Tim Ka‚Ä¶",FALSE,0,NA,2018-06-12 14:24:41,FALSE,NA,"1006542810064084993",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AncientVirtue27",48,TRUE,FALSE,NA,NA
"2591","RT @jlayneca: Del. Nick Freitas is the best choice to beat Sen. Tim Kaine in November. He is a forceful, eloquent voice for conservatism. I‚Ä¶",FALSE,0,NA,2018-06-12 14:24:08,FALSE,NA,"1006542674285846528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KeepTexasRed7",5,TRUE,FALSE,NA,NA
"2592","A candid and insightful conversation about the current political atmosphere between #JonathanCapehart and #TimKaine‚Ä¶ https://t.co/rcunW69s4P",FALSE,3,NA,2018-06-12 14:23:19,TRUE,NA,"1006542468991651840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Gorgamorph",0,FALSE,FALSE,NA,NA
