"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"809","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:16:54,FALSE,NA,"1017367191040163841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","johngraycpa",297,TRUE,FALSE,NA,NA
"810","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:13:08,FALSE,NA,"1017366243190468609",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Loxodonta_s",297,TRUE,FALSE,NA,NA
"811","@CoreyStewartVA @realDonaldTrump We Virginians will stand Against you, Sir. We will NOT abide our state being repre… https://t.co/UlVwyvyf08",FALSE,6,"CoreyStewartVA",2018-07-12 11:07:16,TRUE,"1017240166849765376","1017364766040449024","259045004","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CDJohnsonVP",3,FALSE,FALSE,NA,NA
"812","RT @AltNatSecAgency: @CoreyStewartVA @realDonaldTrump Attend any Nazi rallies lately? Talk to any white nationalists lately, maybe your bud…",FALSE,0,NA,2018-07-12 11:02:07,FALSE,NA,"1017363470486929408",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","petreantonpetre",3,TRUE,FALSE,NA,NA
"813","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:01:28,FALSE,NA,"1017363305562804224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dutchmanii1",297,TRUE,FALSE,NA,NA
"814","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:01:09,FALSE,NA,"1017363228320395264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hollowman777",297,TRUE,FALSE,NA,NA
"815","@CoreyStewartVA @realDonaldTrump A hearty #ThanksObama for handing off an economy so steady and strong, it has affo… https://t.co/ZQQaXLrYZT",FALSE,0,"CoreyStewartVA",2018-07-12 10:59:59,TRUE,"1013483556281180160","1017362933490372609","259045004","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MovieJay",0,FALSE,FALSE,NA,NA
"816","@brandtheath @ltucker8044 @CoreyStewartVA @realDonaldTrump @timkaine Sorry, but it should be “stupid and uneducated AREN’T cool”.",FALSE,0,"brandtheath",2018-07-12 10:59:49,FALSE,"1017247435620569088","1017362889202683909","34482720","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","3_ThreeFeathers",0,FALSE,FALSE,NA,NA
"817","@CoreyStewartVA @realDonaldTrump Lies, lies and more lies from lying liar @CoreyStewartVA. Lie #1: there was no ""Ab… https://t.co/QiXyoo9g3w",FALSE,10,"CoreyStewartVA",2018-07-12 10:59:35,TRUE,"1017240166849765376","1017362830423724033","259045004","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lowkell",0,FALSE,FALSE,NA,NA
"818","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 10:53:15,FALSE,NA,"1017361236529438723",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","John_R_Eason",297,TRUE,FALSE,NA,NA
